name,rating,type_of,price,comments
Spider-Man: Into the Spider-Verse (4K Ultra HD + Blu-Ray + ),4.4667,Movies,18.59,Did not come with digital copy. Returning
"Spiderman Toddler Boys Long Sleeve Top and Pants, 2-Piece Pajama Set, Sizes 2T-5T",,Pajamas,8.98,
Spider-Man Trilogy (Blu-Ray + Digital Copy),5,Movies,20.99,
Spider-Man: Far From Home (4K Ultra HD + Blu-ray),4.4167,Movies,16.99,
Marvel Spider-Man - Me Reader Electronic Reader with 8 Book Library - Pi Kids,4.3889,Books,18.89,
Spider-man: Far From Home (Walmart Exclusive) (Blu-ray DVD + Night Monkey Action Figure),4,Movies,27.96,
Hot Shot 7832991 17.5 oz Ant&#44; Roach & Spider Killer,4.7178,"Pest Bait, Traps & Killers",3.94,"Hot Shot DOES NOT kill roaches.  

I was five inches away from a countertop full of them (yes- disgusting) and was DRENCHING them in this stuff.  Some of them were doing an impressive backstroke in the growing puddle of “Hot Shot,” but they weren't expiring.  

Mind you- all of them were “under water”- completely immersed in the liquid from the can.

Unless there is a delayed reaction where they go home and die in their sleep after they go to sleep it off, all this stuff does is make them flail around.  A couple of them were staggering a little as they went back to their hidey holes after they got out of the pool, but none of them died right in front of me.  Not one.

Maybe it kills little baby ones [edit: no, it doesn't] but the ones in here are about three quarters of an inch long.  They are just your standard roaches- we don't live next door to Three Mile Island or anything.  And while they appeared briefly disoriented after being sprayed, not one of them expired that I could see.

So “Kills On Contact” is not true.  “Fast Knockdown” is not true either, unless this term refers to them falling over before learning the backstroke really fast before scampering off.  This product should be called “Shower Time for Roaches,” not Hot Shot.  It doesn't stink and has a rather pleasant scent, but I didn't buy it because I needed an air freshener.  Maybe the roaches like the smell- I don't know.

I'm stuck with two full cans of this crap with bugs everywhere.  …Well- it is making ME feel funny.  Maybe it makes you so woozy you forget the bugs are there.  Oh- and it will give you a headache. 

Spend the dollar plus whatever more, and get Raid.  That stuff does the job.  This stuff is garbage. 

(I tried an experiment.  I sprayed a baby roach in order to observe the “effects” of this product under more controlled circumstances.  I squirted it.  It ran away from the wetness, then stopped.  Ah, thought I- it's dead.  Nope.  I had just given it a “time out,” and after a few moments of walking a little irregularly, it “stood up straight” and walked away as if nothing had happened to it.  I thought I may have heard a tiny “Thanks for the free bath, lady!” as it vanished.)"
LEGO Spider-Man Mech 76146 Building Set (152 Pieces),4.5735,Interlocking Block Building Sets,33.95,Box smashed badly. Hate to give as gift. Won't know if broken till grandson receives for Valentine's and puts together.
The Amazing Spider-Man / The Amazing Spider-Man 2: Limited Edition Collection (4K Ultra HD + Blu-ray),5,Movies,34.64,
Marvel Spiderman Mech Halloween Costume Size Large. Ages 8+,,Fancy-Dress Costumes,34.97,
"Mighty Mint Gallon (128 oz) Insect & Pest Control Peppermint Oil Spray for Spiders, Ants, and More",4.4682,Insect & Pest Repellent,35.98,"This product does not work very good. I had a problem with ants and I sprayed the ants, but the ants kept coming back.  I did this for a week,  over a period of several hours a day. I finally got a different type of ant killer and now my ant problem is gone. I was very disappointed with this product and I will not buy it again. a waste of money"
Marvel Spider-Man Glow FX Mask Electronic Wearable Toy With Light-Up Eyes For Role Play,4.2083,Action Figures,36.98,"This is hard molded plastic. I assumed it would have some sort of padding on the inside, but it doesn't. I can't imagine that a child could wear this for more than a minute without it hurting. The mask itself works fine, with a lever to open/close the eyes and activate the lights that only last a few seconds. I definitely wouldn't recommend this.  I plan to return it and search for a soft version."
LEGO Marvel Spider-Man: Spider-Man and Ghost Rider vs. Carnage 76173 Collectible Building Toy (212 Pieces),4.8824,Interlocking Block Building Sets,44.95,
Marvel's Spider-Man: Miles Morales - PlayStation 4,4.578,Video Games,43.98,"The order was shipped and delivered within a day HOWEVER the package was delivered wrapped in a Walmart plastic bag with sticker! This is absolutely unacceptable. This was a gift and wasn't properly packaged, someone could've easily identify the gift and taken it! Also the picture that was emailed to me was NOT visible."
Spider-Man Trilogy (4K Ultra HD + Digital Copy),3,Movies,45.55,
"Squishmallows 14"" Marvel Spider-Man Stuffed Plush",5,Stuffed Animals & Plush Toys,50.9,
"Marvel Ultimate Protectors Figure, 8 Pack",4.6944,Action Figures,46.95,they have them at kroger for 27.99
"Marvel Spidey and His Amazing Friends Web-Quarters Action Figure Set, 3 Pieces",4.0476,Action Figure Sets,52.65,The toy is so cheaply made. The spider “legs” don't move so the car can't even slide down them. It just falls off. The toy was almost $60 and is so cheap and just flimsy plastic. I'd pay maybe $20 for this after seeing it in person
LEGO Marvel Avengers Venom Crawler 76163 Spider-Man vs Venom Mech Playset (413 Pieces),4.6136,Interlocking Block Building Sets,62.99,This toy was returned for the box being damaged. The next day I receive the same damaged box. A four year old will not understand why his Papa got him a damaged box for his birthday. Not a great way to show my love to him. I thought that if I returned it to a store they would send me a new box not the same box. I shouldn't even have to pay for this.
LEGO Marvel Spider-Man: Spider-Man's Monster Truck vs. Mysterio 76174; Cool Construction Toy (439 Pieces),4.9063,Interlocking Block Building Sets,73.98,
The Very Hungry Caterpillar (Board book),4.6602,Books,4.93,This is a small board book
Spidey and His Amazing Friends Hero Reveal 2-Pack Miles Morales: Spider-Man and Hulk,4.6538,Action Figures,9.88,the miles is broken after a week. he just fell apart
Way to Celebrate Halloween Black Sound and Motion Activated Dropping Spider Decoration,3.1765,Decoration,14.97,"Bought one and the string broke after the spider was hung up and activated 3 times. Figured it was a fluke, so bought a second one. Hung the new one up but kept it off for a few days just to be sure this one was sturdier than my previous one. Turned it on after 5 days of hanging just fine and the string snapped almost immediately as the spider started to descend. There is no way to reattach the hoop to the string that's inside the spider so they are both paperweights now. The string is LITERALLY about as thick as a strand of hair. So, save your money and buy a different brand if you're looking for something like this. The only positive I can say, is that the sound it made was clear, easy to hear, and kinda cool."
"Mighty Mint 16oz Insect & Pest Control Peppermint Oil Spray - Killer & Repellent for Spiders, Ants, Flies, and More",4.5216,Insect & Pest Repellent,18.99,"I really don't like to give a review that's not 100% honest 
because I sometimes base the products I purchase by 
reading feedback first! I wanted so bad to like this product 
because I love smelling mint. This spray is just too much 
of a mint smell to use inside. It's very overwhelming so
I thought maybe that's what would get rid of the spiders
and bugs. It just didn't seem to be killing the bugs so I 
thought maybe it just repells them. The smell maybe keeps 
them away.
The Mighty mint smells so strong that my dog hides
when she see me bring the bottle out! I am not a fan of 
this product and I think I would purchase it!"
"Plastic Spiderman Favor Bags, 8ct",2.5,Party Bags,1.47,
"Marvel Spiderman Multi-Color Stamper Party Favor, 4 Count",1.7143,Party Favors,1.52,"These stamps were horrible…got them for my 3 yr old son and 2 of them don't work at all and the other 2 are very hard to see. Needles to say, my son was kinda upset they don't work."
Skeleton Bat Prop Halloween Decoration,4.7,Decoration,2.98,It was much smaller than I thought it would be. Pretty pricey for what I got.
You're My Little: You're My Little Cuddle Bug (Board book),4.7,Books,4.76,It's a cute book. Fairly cheap price. Unfortunately mine came damaged
The Very Hungry Caterpillar (Board book),4.6602,Books,4.93,This is a small board book
"Raid Insect Killer, House & Garden I, 11 oz",4.4773,"Pest Bait, Traps & Killers",5.35,Doesn't seem to kill anything...just makes them flee
The Amazing Spider-Man 2 (Blu-ray + DVD),2.3333,Movies,7.35,
The Amazing Spider-Man (Blu-ray + DVD),4.7059,Movies,8.05,
5-Minute Spider-Man Stories (Hardcover),5,Books,9.39,
"White Stretch Spider Web Halloween Decoration by Fun World, 200 sq ft",3.6429,Decoration,9.47,
"Ortho Home Defense Max Ant, Roach and Spider, Kills Ants, Beetles, Cockroaches, 14 Ounce",,"Pest Bait, Traps & Killers",10.8,
"Spider-Man and Friends Baby and Toddler Boys' Blanket Sleeper, Sizes 12M-5T",,Pajamas,10.98,
"Hot Shot Spider and Scorpion Killer Aerosol, 11 Ounce",,"Pest Bait, Traps & Killers",12.45,
Marvel Spidey and His Amazing Friends Supersized Miles Morales: Spider-Man Action Figure,4.7917,Action Figures,10.99,
Marvel Spidey and His Amazing Friends Supersized Ghost-Spider Action Figure,4.8261,Action Figures,12.88,
